Date,Close,High,Low,Open,Volume,year,month,day,lag_1,lag_2,lag_3,price_change,ma_7,ma_14,std_7
2021-04-13,875.9385375976562,879.9287521472845,869.6131669055775,872.4017415275625,19411189,2021.0,4.0,13.0,866.5751953125,898.7234497070312,909.288330078125,9.36334228515625,894.5615844726562,906.3847917829241,16.61277299757252
2021-04-15,881.6063842773438,889.1786704861084,867.4139846330557,873.4446120904353,19723716,2021.0,4.0,15.0,875.9385375976562,866.5751953125,898.7234497070312,5.6678466796875,891.4328962053571,901.7468348911831,16.709267212114533
2021-04-16,876.0745849609375,884.1456861292494,873.5126894782757,878.1150581636493,15656948,2021.0,4.0,16.0,881.6063842773438,875.9385375976562,866.5751953125,-5.53179931640625,888.0516008649554,898.0157427106585,17.13658179660569
2021-04-19,862.2901611328125,868.9556101628922,856.9850274045621,863.3330655330114,18478808,2021.0,4.0,19.0,876.0745849609375,881.6063842773438,875.9385375976562,-13.784423828125,881.4995204380581,895.1089172363281,16.936068616063945
2021-04-20,862.0408325195312,870.1345408290238,857.1891171314771,866.2803940149797,17203668,2021.0,4.0,20.0,862.2901611328125,876.0745849609375,881.6063842773438,-0.24932861328125,874.7498779296875,892.0806492396763,12.964704633293664
2021-04-22,864.42138671875,868.0715224771913,850.9544798546892,858.0053442180699,14490954,2021.0,4.0,22.0,862.0408325195312,862.2901611328125,876.0745849609375,2.38055419921875,869.8495832170759,888.1001761300223,7.877782750760642
2021-04-23,863.4918823242188,870.0892682363567,859.4109960022909,864.2400438171045,11828857,2021.0,4.0,23.0,864.42138671875,862.0408325195312,862.2901611328125,-0.92950439453125,869.4091099330357,884.90187726702,8.17208045629368
2021-04-26,878.6817626953125,889.6321696188024,866.7338471259807,870.5880540621903,20846778,2021.0,4.0,26.0,863.4918823242188,864.42138671875,862.0408325195312,15.18988037109375,869.8009992327009,882.1812918526786,8.592351414336722
2021-04-27,901.7161254882812,905.5929405224553,878.8631979839778,879.6566953316482,19992524,2021.0,4.0,27.0,878.6817626953125,863.4918823242188,864.42138671875,23.03436279296875,872.6738194056919,882.0533578055246,14.516700236840288
2021-04-28,905.6382446289062,910.4899602170952,897.861946907099,905.8876517747104,17122437,2021.0,4.0,28.0,901.7161254882812,878.6817626953125,863.4918823242188,3.922119140625,876.897199358259,882.4744001116071,19.212136229332586
2021-04-29,917.767578125,927.0402589004968,910.1726236848529,917.2460958998796,17412606,2021.0,4.0,29.0,905.6382446289062,901.7161254882812,878.6817626953125,12.12933349609375,884.8225446428571,883.1610325404575,23.209127804318356
2021-04-30,904.3685913085938,923.1859662205168,901.2172701969536,910.716629346936,19828769,2021.0,4.0,30.0,917.767578125,905.6382446289062,901.7161254882812,-13.39898681640625,890.869367327009,882.8096226283482,21.752680913691005
2021-05-03,888.2945556640625,897.340497401844,881.0623478526642,891.4458771331132,23640186,2021.0,5.0,3.0,904.3685913085938,917.767578125,905.6382446289062,-16.07403564453125,894.2798200334821,882.064701625279,18.550788055139805
2021-05-04,869.0463256835938,892.2620588404909,866.5071582786076,884.190958253908,21849830,2021.0,5.0,4.0,888.2945556640625,904.3685913085938,917.767578125,-19.24822998046875,895.0733119419643,882.2412109375,17.07442115980746
2021-05-05,870.6333618164062,878.9764773257763,865.1694924935965,872.1070167804479,12393609,2021.0,5.0,5.0,869.0463256835938,888.2945556640625,904.3685913085938,1.5870361328125,893.9235403878348,881.8622698102679,18.567846763973645
2021-05-06,875.5758056640625,877.3895395810054,864.51205875474,871.4269155650811,14624666,2021.0,5.0,6.0,870.6333618164062,869.0463256835938,888.2945556640625,4.94244384765625,890.189208984375,881.4315141950335,19.351520054130948
2021-05-07,875.9158935546875,886.7529013481309,873.308662266205,878.6364644741296,12288548,2021.0,5.0,7.0,875.5758056640625,870.6333618164062,869.0463256835938,0.340087890625,885.9431588309152,881.4201790945871,18.644660576610455
2021-05-10,873.3992919921875,882.7399763357812,871.0188000480982,879.2032403073009,13941237,2021.0,5.0,10.0,875.9158935546875,875.5758056640625,870.6333618164062,-2.5166015625,879.6048322405134,882.2136884416852,12.576926308375981
2021-05-11,876.5507202148438,878.999216065306,866.0537312569095,868.3209436649042,13478264,2021.0,5.0,11.0,873.3992919921875,875.9158935546875,875.5758056640625,3.15142822265625,875.6308506556919,883.2501089913504,6.253140302091255
2021-05-12,867.4819946289062,876.4372641804301,864.6934200952072,875.1676804843173,13177961,2021.0,5.0,12.0,876.5507202148438,873.3992919921875,875.9158935546875,-9.0687255859375,872.6576276506696,883.4687238420759,3.6231806139753715
2021-05-14,878.4324340820312,880.563518938135,864.2400338075389,874.2381482108096,13291616,2021.0,5.0,14.0,867.4819946289062,876.5507202148438,873.3992919921875,10.950439453125,873.9985002790179,884.535906110491,3.7966199474672617
2021-05-17,888.8839721679688,890.2895633789483,875.3036666921718,878.4323799585411,11873078,2021.0,5.0,17.0,878.4324340820312,867.4819946289062,876.5507202148438,10.4515380859375,876.605730329241,885.2646353585379,6.444060765461125
2021-05-18,901.398681640625,908.0414631541172,894.3931533556103,898.2473602910601,12064918,2021.0,5.0,18.0,888.8839721679688,878.4324340820312,867.4819946289062,12.51470947265625,880.2947126116071,885.241960797991,11.31020978916229
2021-05-19,905.5248413085938,914.32143492012,894.1664125157001,897.7938200130252,16317002,2021.0,5.0,19.0,901.398681640625,888.8839721679688,878.4324340820312,4.12615966796875,884.5245622907366,885.2338605608259,14.4894732617984
2021-05-20,900.242431640625,911.8049324349583,898.2473543943751,905.9103124284246,11422532,2021.0,5.0,20.0,905.5248413085938,901.398681640625,888.8839721679688,-5.28240966796875,888.3592965262277,883.9820643833706,14.606006090604644
2021-05-21,908.018798828125,911.2154560407944,900.5145161905418,903.235087003718,10785605,2021.0,5.0,21.0,900.242431640625,905.5248413085938,901.398681640625,7.7763671875,892.854736328125,884.2427934919085,15.196508297861476
2021-05-24,900.3557739257812,911.3061808075764,898.7007755187158,910.4899555985552,8551760,2021.0,5.0,24.0,908.018798828125,900.242431640625,905.5248413085938,-7.66302490234375,897.5509905133929,885.1043090820312,10.35784008034092
2021-05-25,890.153564453125,905.5022080454436,888.7252453359569,905.2301329831128,14780102,2021.0,5.0,25.0,900.3557739257812,908.018798828125,900.242431640625,-10.20220947265625,899.2254377092634,886.6119689941406,7.225941751716101
2021-05-26,893.2822265625,897.5671839561246,891.1284738713696,895.5267109206686,7480204,2021.0,5.0,26.0,890.153564453125,900.3557739257812,908.018798828125,3.128662109375,899.853759765625,888.2297450474331,6.3100149780965795
